Comment,Designator,Footprint,LCSC
220,"R0,R1,R10,R2,R3,R4,R5,R6,R7,R8,R9",R_0805_2012Metric,C17557
1N5819,D10,D_SOD-323,C191023
LED,"D0,D1,D2,D3,D4,D5,D6,D7,D8",D_0805_2012Metric,C2297
1u,"C1,C5",C_0805_2012Metric,C28323
ATtiny1616-M,U2,VQFN-20-1EP_3x3mm_P0.4mm_EP1.7x1.7mm,C507118
AOUT,J2,Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical,
AIN,J1,Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical,
PB5,J3,Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical,
COMM,J4,Molex_KK-254_AE-6410-05A_1x05_P2.54mm_Vertical,
MountingHole,H1,MountingHole_3.2mm_M3_Pad,
FS,RV1,PinHeader_1x03_P2.54mm_Vertical,
PWR,J5,Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,
220,R11,R_0805_2012Metric,
